feature,threshold,direction,reject_rate,kept_trades,E_all,E_kept,lift,loser_removal_rate,winner_loss_rate,rule_good
early_return_1,0.0006703458010844932,gt,0.3076923076923077,18,0.001019608201657542,0.0008056540155644097,-0.00021395418609313226,0.16666666666666666,0.42857142857142855,False
early_return_1,-0.00022332702567584573,lt,0.3076923076923077,18,0.001019608201657542,0.0008022503706869951,-0.00021735783097054687,0.3333333333333333,0.2857142857142857,False
early_return_1,0.00042215832251035756,gt,0.38461538461538464,16,0.001019608201657542,0.0007987395484434776,-0.00022086865321406437,0.16666666666666666,0.5714285714285714,False
early_mae,0.0002315408883053341,gt,0.7692307692307693,6,0.001019608201657542,0.0007722658280818327,-0.0002473423735757093,0.75,0.7857142857142857,False
early_range_expansion,1.5637967914894548,gt,0.6923076923076923,8,0.001019608201657542,0.000751598823753584,-0.00026800937790395795,0.6666666666666666,0.7142857142857143,False
early_mae,0.00027094595087548575,gt,0.6923076923076923,8,0.001019608201657542,0.0007090793433236781,-0.00031052885833386386,0.6666666666666666,0.7142857142857143,False
early_return_3,0.0003095423975598144,gt,0.5,13,0.001019608201657542,0.0006706987475701455,-0.0003489094540873965,0.4166666666666667,0.5714285714285714,False
early_return_3,0.0006783877720493159,gt,0.3076923076923077,18,0.001019608201657542,0.0006440848473750228,-0.00037552335428251923,0.16666666666666666,0.42857142857142855,False
early_return_3,0.001121290867747593,gt,0.19230769230769232,21,0.001019608201657542,0.0006374560184521284,-0.0003821521832054136,0.08333333333333333,0.2857142857142857,False
early_return_3,0.0001508833275107868,gt,0.5769230769230769,11,0.001019608201657542,0.0005747341155318145,-0.0004448740861257275,0.4166666666666667,0.7142857142857143,False
early_range_expansion,1.9175697347718823,gt,0.3076923076923077,18,0.001019608201657542,0.000571481241745128,-0.00044812695991241396,0.16666666666666666,0.42857142857142855,False
early_range_expansion,1.6195590850151227,gt,0.5769230769230769,11,0.001019608201657542,0.0005617074718779779,-0.00045790072977956405,0.5,0.6428571428571429,False
early_range_expansion,1.6446718407144383,gt,0.5,13,0.001019608201657542,0.0005244789158963551,-0.0004951292857611869,0.4166666666666667,0.5714285714285714,False
early_return_3,0.00034326993668098993,gt,0.38461538461538464,16,0.001019608201657542,0.0005216142267872902,-0.0004979939748702518,0.25,0.5,False
early_mfe,0.0016587576415185564,gt,0.19230769230769232,21,0.001019608201657542,0.00045544561149032356,-0.0005641625901672185,0.0,0.35714285714285715,False
early_mfe,0.0006492697273771117,gt,0.5769230769230769,11,0.001019608201657542,0.00036430486120603804,-0.0006553033404515039,0.4166666666666667,0.7142857142857143,False
early_range_expansion,1.4868458020083664,gt,0.7692307692307693,6,0.001019608201657542,0.0003358196283763626,-0.0006837885732811793,0.6666666666666666,0.8571428571428571,False
early_range_expansion,1.7443765790731374,gt,0.38461538461538464,16,0.001019608201657542,0.00033538174949908855,-0.0006842264521584535,0.16666666666666666,0.5714285714285714,False
early_mfe,0.0009810548311071326,gt,0.5,13,0.001019608201657542,0.00033256500568426935,-0.0006870431959732726,0.3333333333333333,0.6428571428571429,False
early_mfe,0.0011141182767642748,gt,0.38461538461538464,16,0.001019608201657542,0.000309817475853626,-0.000709790725803916,0.16666666666666666,0.5714285714285714,False
early_mfe,0.001344019512714257,gt,0.3076923076923077,18,0.001019608201657542,0.00026632241565943937,-0.0007532857859981026,0.08333333333333333,0.5,False
early_return_3,-0.00024086979360338212,gt,0.6923076923076923,8,0.001019608201657542,0.0001620667123094046,-0.0008575414893481374,0.5833333333333334,0.7857142857142857,False
early_mfe,0.00040570314312026774,gt,0.6923076923076923,8,0.001019608201657542,7.419475230982156e-05,-0.0009454134493477205,0.5,0.8571428571428571,False
early_return_3,-0.00039273765475167366,gt,0.7692307692307693,6,0.001019608201657542,-8.998326588071552e-06,-0.0010286065282456135,0.5833333333333334,0.9285714285714286,False
early_mfe,0.00024158843026180567,gt,0.7692307692307693,6,0.001019608201657542,-0.0004661606849159115,-0.0014857688865734535,0.5833333333333334,0.9285714285714286,False
